Signal Legend:

Key        Signal Name

0        = HSMC_ADC_DB[13..0]
1        = HSMC_ADC_OTR_B
2        = HSMC_ADC_OTR_A

Data Table:

Signals-> 0     1 2 

sample

-13799    8283  0 0 
-13798    8283  0 0 
-13797    8283  0 0 
-13796    3103  0 0 
-13795    7839  0 0 
-13794    7839  0 0 
-13793    7839  0 0 
-13792    7935  0 0 
-13791    7416  0 0 
-13790    7416  0 0 
-13789    7416  0 0 
-13788    8156  0 0 
-13787    7006  0 0 
-13786    7006  0 0 
-13785    7006  0 0 
-13784    7130  0 0 
-13783    6610  0 0 
-13782    6610  0 0 
-13781    6610  0 0 
-13780    6622  0 0 
-13779    6222  0 0 
-13778    6222  0 0 
-13777    6222  0 0 
-13776    7759  0 0 
-13775    5837  0 0 
-13774    5837  0 0 
-13773    5837  0 0 
-13772    6109  0 0 
-13771    5471  0 0 
-13770    5471  0 0 
-13769    5471  0 0 
-13768    16351 0 0 
-13767    10970 0 0 
-13766    10970 0 0 
-13765    10970 0 0 
-13764    11258 0 0 
-13763    10728 0 0 
-13762    10728 0 0 
-13761    10728 0 0 
-13760    10633 0 0 
-13759    10243 0 0 
-13758    10243 0 0 
-13757    10243 0 0 
-13756    11803 0 0 
-13755    9755  0 0 
-13754    9755  0 0 
-13753    9755  0 0 
-13752    9819  0 0 
-13751    9289  0 0 
-13750    9289  0 0 
-13749    9289  0 0 
-13748    9865  0 0 
-13747    8841  0 0 
-13746    8841  0 0 
-13745    8841  0 0 
-13744    8937  0 0 
-13743    8416  0 0 
-13742    8416  0 0 
-13741    8416  0 0 
-13740    8129  0 0 
-13739    8003  0 0 
-13738    8003  0 0 
-13737    8003  0 0 
-13736    8123  0 0 
-13735    7608  0 0 
-13734    7608  0 0 
-13733    7608  0 0 
-13732    7640  0 0 
-13731    7234  0 0 
-13730    7234  0 0 
-13729    7234  0 0 
-13728    7759  0 0 
-13727    6861  0 0 
-13726    6861  0 0 
-13725    6861  0 0 
-13724    7149  0 0 
-13723    6504  0 0 
-13722    6504  0 0 
-13721    6504  0 0 
-13720    6413  0 0 
-13719    6159  0 0 
-13718    6159  0 0 
-13717    6159  0 0 
-13716    7231  0 0 
-13715    5817  0 0 
-13714    5817  0 0 
-13713    5817  0 0 
-13712    6137  0 0 
-13711    5490  0 0 
-13710    5490  0 0 
-13709    5490  0 0 
-13708    16147 0 0 
-13707    11025 0 0 
-13706    11025 0 0 
-13705    11025 0 0 
-13704    11089 0 0 
-13703    10833 0 0 
-13702    10833 0 0 
-13701    10833 0 0 
-13700    10909 0 0 
-13699    10383 0 0 
-13698    10383 0 0 
-13697    10383 0 0 
-13696    11983 0 0 
-13695    9932  0 0 
-13694    9932  0 0 
-13693    9932  0 0 
-13692    10140 0 0 
-13691    9500  0 0 
-13690    9500  0 0 
-13689    9500  0 0 
-13688    10141 0 0 
-13687    9095  0 0 
-13686    9095  0 0 
-13685    9095  0 0 
-13684    9095  0 0 
-13683    8709  0 0 
-13682    8709  0 0 
-13681    8709  0 0 
-13680    8845  0 0 
-13679    8335  0 0 
-13678    8335  0 0 
-13677    8335  0 0 
-13676    3503  0 0 
-13675    7982  0 0 
-13674    7982  0 0 
-13673    7982  0 0 
-13672    8191  0 0 
-13671    7639  0 0 
-13670    7639  0 0 
-13669    7639  0 0 
-13668    7583  0 0 
-13667    7310  0 0 
-13666    7310  0 0 
-13665    7310  0 0 
-13664    8142  0 0 
-13663    6988  0 0 
-13662    6988  0 0 
-13661    6988  0 0 
-13660    6941  0 0 
-13659    6677  0 0 
-13658    6677  0 0 
-13657    6677  0 0 
-13656    6909  0 0 
-13655    6377  0 0 
-13654    6377  0 0 
-13653    6377  0 0 
-13652    8141  0 0 
-13651    6086  0 0 
-13650    6086  0 0 
-13649    6086  0 0 
-13648    6070  0 0 
-13647    5808  0 0 
-13646    5808  0 0 
-13645    5808  0 0 
-13644    6065  0 0 
-13643    5537  0 0 
-13642    5537  0 0 
-13641    5537  0 0 
-13640    5557  0 0 
-13639    5271  0 0 
-13638    5271  0 0 
-13637    5271  0 0 
-13636    16127 0 0 
-13635    10879 0 0 
-13634    10879 0 0 
-13633    10879 0 0 
-13632    11263 0 0 
-13631    10737 0 0 
-13630    10737 0 0 
-13629    10737 0 0 
-13628    10745 0 0 
-13627    10347 0 0 
-13626    10347 0 0 
-13625    10347 0 0 
-13624    12015 0 0 
-13623    9958  0 0 
-13622    9958  0 0 
-13621    9958  0 0 
-13620    10238 0 0 
-13619    9594  0 0 
-13618    9594  0 0 
-13617    9594  0 0 
-13616    9530  0 0 
-13615    9250  0 0 
-13614    9250  0 0 
-13613    9250  0 0 
-13612    9851  0 0 
-13611    8921  0 0 
-13610    8921  0 0 
-13609    8921  0 0 
-13608    9117  0 0 
-13607    8605  0 0 
-13606    8605  0 0 
-13605    8605  0 0 
-13604    8693  0 0 
-13603    8309  0 0 
-13602    8309  0 0 
-13601    8309  0 0 
-13600    8029  0 0 
-13599    8027  0 0 
-13598    8027  0 0 
-13597    8027  0 0 
-13596    8027  0 0 
-13595    7752  0 0 
-13594    7752  0 0 
-13593    7752  0 0 
-13592    8008  0 0 
-13591    7488  0 0 
-13590    7488  0 0 
-13589    7488  0 0 
-13588    7492  0 0 
-13587    7238  0 0 
-13586    7238  0 0 
-13585    7238  0 0 
-13584    8019  0 0 
-13583    6995  0 0 
-13582    6995  0 0 
-13581    6995  0 0 
-13580    7031  0 0 
-13579    6758  0 0 
-13578    6758  0 0 
-13577    6758  0 0 
-13576    7046  0 0 
-13575    6530  0 0 
-13574    6530  0 0 
-13573    6530  0 0 
-13572    6571  0 0 
-13571    6315  0 0 
-13570    6315  0 0 
-13569    6315  0 0 
-13568    8187  0 0 
-13567    6106  0 0 
-13566    6106  0 0 
-13565    6106  0 0 
-13564    6046  0 0 
-13563    5908  0 0 
-13562    5908  0 0 
-13561    5908  0 0 
-13560    5969  0 0 
-13559    5715  0 0 
-13558    5715  0 0 
-13557    5715  0 0 
-13556    6035  0 0 
-13555    5523  0 0 
-13554    5523  0 0 
-13553    5523  0 0 
-13552    16347 0 0 
-13551    11210 0 0 
-13550    11210 0 0 
-13549    11210 0 0 
-13548    11151 0 0 
-13547    11141 0 0 
-13546    11141 0 0 
-13545    11141 0 0 
-13544    11221 0 0 
-13543    10834 0 0 
-13542    10834 0 0 
-13541    10834 0 0 
-13540    11031 0 0 
-13539    10517 0 0 
-13538    10517 0 0 
-13537    10517 0 0 
-13536    11633 0 0 
-13535    10227 0 0 
-13534    10227 0 0 
-13533    10227 0 0 
-13532    10227 0 0 
-13531    9954  0 0 
-13530    9954  0 0 
-13529    9954  0 0 
-13528    10206 0 0 
-13527    9694  0 0 
-13526    9694  0 0 
-13525    9694  0 0 
-13524    9727  0 0 
-13523    9455  0 0 
-13522    9455  0 0 
-13521    9455  0 0 
-13520    9359  0 0 
-13519    9227  0 0 
-13518    9227  0 0 
-13517    9227  0 0 
-13516    10035 0 0 
-13515    9011  0 0 
-13514    9011  0 0 
-13513    9011  0 0 
-13512    9083  0 0 
-13511    8811  0 0 
-13510    8811  0 0 
-13509    8811  0 0 
-13508    9131  0 0 
-13507    8616  0 0 
-13506    8616  0 0 
-13505    8616  0 0 
-13504    8684  0 0 
-13503    8430  0 0 
-13502    8430  0 0 
-13501    8430  0 0 
-13500    8382  0 0 
-13499    8252  0 0 
-13498    8252  0 0 
-13497    8252  0 0 
-13496    3356  0 0 
-13495    8082  0 0 
-13494    8082  0 0 
-13493    8082  0 0 
-13492    8179  0 0 
-13491    7923  0 0 
-13490    7923  0 0 
-13489    7923  0 0 
-13488    7899  0 0 
-13487    7768  0 0 
-13486    7768  0 0 
-13485    7768  0 0 
-13484    8157  0 0 
-13483    7621  0 0 
-13482    7621  0 0 
-13481    7621  0 0 
-13480    7613  0 0 
-13479    7484  0 0 
-13478    7484  0 0 
-13477    7484  0 0 
-13476    7604  0 0 
-13475    7350  0 0 
-13474    7350  0 0 
-13473    7350  0 0 
-13472    7358  0 0 
-13471    7228  0 0 
-13470    7228  0 0 
-13469    7228  0 0 
-13468    8140  0 0 
-13467    7108  0 0 
-13466    7108  0 0 
-13465    7108  0 0 
-13464    7124  0 0 
-13463    6998  0 0 
-13462    6998  0 0 
-13461    6998  0 0 
-13460    7166  0 0 
-13459    6892  0 0 
-13458    6892  0 0 
-13457    6892  0 0 
-13456    6797  0 0 
-13455    6791  0 0 
-13454    6791  0 0 
-13453    6791  0 0 
-13452    6831  0 0 
-13451    6700  0 0 
-13450    6700  0 0 
-13449    6700  0 0 
-13448    7165  0 0 
-13447    6615  0 0 
-13446    6615  0 0 
-13445    6615  0 0 
-13444    6559  0 0 
-13443    6536  0 0 
-13442    6536  0 0 
-13441    6536  0 0 
-13440    6588  0 0 
-13439    6460  0 0 
-13438    6460  0 0 
-13437    6460  0 0 
-13436    6653  0 0 
-13435    6391  0 0 
-13434    6391  0 0 
-13433    6391  0 0 
-13432    6335  0 0 
-13431    6331  0 0 
-13430    6331  0 0 
-13429    6331  0 0 
-13428    6303  0 0 
-13427    6276  0 0 
-13426    6276  0 0 
-13425    6276  0 0 
-13424    6357  0 0 
-13423    6227  0 0 
-13422    6227  0 0 
-13421    6227  0 0 
-13420    6199  0 0 
-13419    6181  0 0 
-13418    6181  0 0 
-13417    6181  0 0 
-13416    5245  0 0 
-13415    6141  0 0 
-13414    6141  0 0 
-13413    6141  0 0 
-13412    6109  0 0 
-13411    6111  0 0 
-13410    6111  0 0 
-13409    6111  0 0 
-13408    6099  0 0 
-13407    6083  0 0 
-13406    6083  0 0 
-13405    6083  0 0 
-13404    6063  0 0 
-13403    6062  0 0 
-13402    6062  0 0 
-13401    6062  0 0 
-13400    6078  0 0 
-13399    6042  0 0 
-13398    6042  0 0 
-13397    6042  0 0 
-13396    6030  0 0 
-13395    6028  0 0 
-13394    6028  0 0 
-13393    6028  0 0 
-13392    6024  0 0 
-13391    6024  0 0 
-13390    6024  0 0 
-13389    6024  0 0 
